Artwork_ID,Platform,Style,Creator_Type,Views,Likes,Shares,Comments,Price (USD),Engagement_Score
ART_50,DeviantArt,Futuristic,Individual,402489,90243,33970,19809,88.72,0.84
ART_51,Foundation,Futuristic,Individual,69396,73613,41065,3964,4377.46,0.54
ART_52,Foundation,Futuristic,AI Model,426987,48596,13807,4715,1244.9,0.51
ART_53,Foundation,Portrait,Hybrid,165738,2969,41252,15206,4115.94,0.15
ART_54,Instagram,Abstract,Individual,404424,56620,14345,1129,1744.98,0.6
ART_55,SuperRare,Pixel Art,Hybrid,137682,5471,23497,14460,570.52,0.77
ART_56,Instagram,Futuristic,Hybrid,291958,52165,15550,3857,4934.97,0.78
ART_57,SuperRare,Pixel Art,AI Model,398030,65919,36336,13166,1555.93,0.75
ART_58,DeviantArt,Portrait,Hybrid,357979,44718,35468,1830,2411.79,0.21
ART_59,Foundation,Minimalist,AI Model,255920,26901,48686,6912,370.5,0.31
ART_60,SuperRare,Minimalist,Hybrid,442952,53180,12602,17739,2817.07,0.8
ART_61,DeviantArt,Futuristic,Hybrid,373152,30294,32659,1665,1716.9,0.94
ART_62,Instagram,Cyberpunk,Individual,52498,61837,31857,965,4695.81,0.63
ART_63,Instagram,Minimalist,AI Model,88135,33473,35863,3082,2138.93,0.28
ART_64,SuperRare,Cyberpunk,Individual,414858,28327,28812,10215,4255.45,0.17
ART_65,Instagram,Abstract,Individual,368739,52837,33417,12469,1007.2,0.33
ART_66,Opensea,Cyberpunk,AI Model,159832,13736,34892,10467,4394.16,0.31
ART_67,DeviantArt,Futuristic,AI Model,161345,71141,42625,8724,2744.72,0.31
ART_68,Opensea,Pixel Art,Individual,471044,42181,22710,9409,1549.31,1.0
ART_69,DeviantArt,Minimalist,Individual,330953,74633,42339,17116,1911.95,0.31
ART_70,DeviantArt,Pixel Art,Hybrid,229884,26086,44601,3210,99.51,0.36
ART_71,Instagram,Cyberpunk,AI Model,44779,3505,11445,15809,865.52,0.37
ART_72,Instagram,Pixel Art,Individual,204482,73830,36508,16717,4034.45,0.54
ART_73,Instagram,Pixel Art,Hybrid,144480,92198,5385,18703,1919.81,0.76
ART_74,Foundation,Abstract,AI Model,130225,41722,6282,10878,4083.16,0.29
ART_75,Opensea,Futuristic,Hybrid,47701,5767,49852,7018,3154.58,0.41
ART_76,Instagram,Abstract,AI Model,159643,32333,43326,13289,4655.82,0.45
ART_77,Foundation,Cyberpunk,AI Model,117952,70428,30437,15427,4696.01,0.62
ART_78,DeviantArt,Cyberpunk,Individual,310068,33221,7152,2900,2017.08,0.35
ART_79,SuperRare,Surreal,AI Model,94497,76961,40135,17322,2751.45,0.58
ART_80,Instagram,Abstract,Individual,372301,90680,46999,18842,3917.87,0.12
ART_81,Opensea,Pixel Art,Hybrid,458238,64129,47085,19482,3103.5,0.13
ART_82,DeviantArt,Abstract,Individual,183140,91004,9668,12478,1088.44,0.23
ART_83,Opensea,Abstract,AI Model,250616,57676,43530,11413,4553.09,0.81
ART_84,Foundation,Portrait,Individual,480249,41769,29877,6958,2495.29,0.39
ART_85,Opensea,Pixel Art,Hybrid,304508,85105,15942,10688,2832.81,0.86
ART_86,DeviantArt,Minimalist,AI Model,246666,78250,25665,6143,4572.86,0.46
ART_87,DeviantArt,Pixel Art,AI Model,61138,41389,30005,18099,1713.81,0.99
ART_88,Instagram,Abstract,Hybrid,109155,24961,44625,4495,2986.62,0.32
ART_89,SuperRare,Pixel Art,Hybrid,385464,99727,8866,16153,3065.6,0.33
ART_90,SuperRare,Cyberpunk,Individual,63777,21613,17276,15829,4813.93,0.49
ART_91,Foundation,Portrait,Hybrid,348513,13460,10814,12516,3711.2,0.91
ART_92,DeviantArt,Futuristic,AI Model,346918,8454,503,1272,507.52,0.56
ART_93,DeviantArt,Pixel Art,Individual,421221,26799,45000,10568,380.38,0.75
ART_94,Foundation,Futuristic,Hybrid,42237,83790,30316,4850,3961.0,0.66
ART_95,Instagram,Minimalist,AI Model,330206,91144,33402,7616,1237.0,0.71
ART_96,DeviantArt,Portrait,Hybrid,219412,90226,29166,3551,544.71,0.26
ART_97,DeviantArt,Abstract,Hybrid,354249,51442,16884,6510,3987.01,0.33
ART_98,Foundation,Portrait,Hybrid,493270,2540,47288,19720,82.77,0.43
ART_99,Instagram,Portrait,AI Model,343324,33022,35328,1333,4466.62,0.12
ART_100,Foundation,Cyberpunk,Individual,211867,63780,37876,8859,2664.84,0.73
ART_101,Opensea,Futuristic,Hybrid,238026,2298,14040,9037,259.4,0.64
ART_102,SuperRare,Cyberpunk,AI Model,489891,71591,9937,11490,4589.59,0.56
ART_103,Opensea,Pixel Art,Individual,278100,40138,10271,12035,2517.97,0.4
ART_104,SuperRare,Pixel Art,Hybrid,51908,54243,20026,3284,328.17,0.73
ART_105,SuperRare,Portrait,Individual,307492,77832,43832,3476,459.53,0.92
ART_106,SuperRare,Surreal,Hybrid,489449,13431,10158,12155,3467.87,0.11
ART_107,Foundation,Cyberpunk,Hybrid,383291,36085,4704,17187,3555.53,0.77
ART_108,Instagram,Cyberpunk,Individual,130778,21813,23865,4144,2925.65,0.82
ART_109,SuperRare,Futuristic,Hybrid,266009,9463,9884,11705,4156.69,0.46
ART_110,DeviantArt,Surreal,Hybrid,226049,3224,30150,8435,4669.74,0.36
ART_111,Instagram,Minimalist,AI Model,25397,96139,38503,4817,2965.28,0.73
ART_112,DeviantArt,Pixel Art,AI Model,268881,11854,8187,10952,4556.4,0.23
ART_113,SuperRare,Portrait,AI Model,190932,51053,7238,2490,1494.36,0.56
ART_114,Foundation,Minimalist,AI Model,308679,40407,30372,12459,2417.63,0.25
ART_115,DeviantArt,Portrait,AI Model,67606,30995,9174,12645,3996.54,0.97
ART_116,Foundation,Abstract,Individual,166222,66740,4219,6303,793.67,0.66
ART_117,DeviantArt,Abstract,Hybrid,448846,23452,42398,13262,2434.97,0.87
ART_118,DeviantArt,Portrait,Hybrid,317692,33242,5056,8910,1868.65,0.51
ART_119,Instagram,Abstract,Individual,109607,81366,47217,2752,1533.65,0.38
ART_120,Instagram,Abstract,Individual,323070,96440,9458,16930,4893.77,0.17
ART_121,Foundation,Surreal,AI Model,449536,86200,31869,3814,1517.53,0.66
ART_122,Opensea,Abstract,Individual,145647,78872,32936,1754,4728.68,0.8
ART_123,Instagram,Surreal,Hybrid,498079,98658,20486,1546,812.0,0.15
ART_124,Foundation,Surreal,AI Model,163875,29146,20804,14774,1047.43,0.98
ART_125,DeviantArt,Futuristic,AI Model,305893,50398,29007,3048,451.17,0.48
ART_126,Foundation,Abstract,Hybrid,470855,42653,20102,5060,3435.73,0.37
ART_127,Instagram,Abstract,Hybrid,76617,48275,19538,19906,1202.58,0.99
ART_128,DeviantArt,Portrait,Individual,498295,19678,14541,16194,2155.14,0.62
ART_129,Foundation,Futuristic,Hybrid,458665,58290,30676,14693,4883.66,0.63
ART_130,SuperRare,Cyberpunk,AI Model,20244,2961,1493,14491,4419.28,0.53
ART_131,Opensea,Minimalist,Individual,68367,63175,22475,6672,297.05,0.35
ART_132,DeviantArt,Futuristic,Individual,403041,62035,17205,14708,1002.42,0.14
ART_133,Foundation,Abstract,AI Model,412813,98122,40593,9388,233.21,0.29
ART_134,Foundation,Portrait,AI Model,355323,78964,374,4136,2998.48,0.94
ART_135,Foundation,Abstract,Individual,341875,41926,20434,17212,1288.49,0.86
ART_136,DeviantArt,Minimalist,AI Model,210899,17441,15086,407,2516.2,0.45
ART_137,Foundation,Abstract,Hybrid,325730,138,44629,2437,234.18,0.94
ART_138,Foundation,Portrait,AI Model,311559,84130,15851,17412,4465.51,0.44
ART_139,Foundation,Abstract,AI Model,417990,69647,28654,15766,1043.42,0.3
ART_140,DeviantArt,Surreal,AI Model,241613,27637,42915,10881,924.72,0.83
ART_141,Foundation,Portrait,Individual,333407,70235,45773,12598,1625.26,0.81
ART_142,Foundation,Surreal,AI Model,322358,34352,41981,12849,4402.84,0.42
ART_143,Opensea,Portrait,AI Model,206264,30567,34329,14988,3305.08,0.89
ART_144,DeviantArt,Futuristic,Individual,24157,3482,2215,15512,1048.59,0.89
ART_145,Foundation,Minimalist,Individual,251327,40871,7089,11412,217.07,0.37
ART_146,SuperRare,Pixel Art,AI Model,98131,53775,10364,6994,4599.38,0.34
ART_147,Opensea,Portrait,AI Model,367610,86668,30152,19827,1740.06,0.99
ART_148,SuperRare,Minimalist,Hybrid,38355,15637,27895,12860,237.14,0.75
ART_149,Foundation,Cyberpunk,Individual,99590,37968,6187,745,3075.81,0.18
ART_150,Foundation,Portrait,Hybrid,389439,58545,3236,3951,986.0,0.15
ART_151,Foundation,Abstract,Hybrid,224221,32530,47615,11559,1699.26,0.84
ART_152,Instagram,Cyberpunk,Hybrid,263046,1826,25530,19184,4964.07,0.6
ART_153,DeviantArt,Futuristic,Individual,325179,82239,38658,5773,796.43,0.6
ART_154,Opensea,Surreal,Hybrid,225220,66848,12741,4223,622.24,0.95
ART_155,DeviantArt,Surreal,Hybrid,18162,27530,9245,6523,1472.07,0.96
ART_156,DeviantArt,Cyberpunk,Individual,346777,49831,4019,16583,2189.58,0.34
ART_157,Instagram,Portrait,AI Model,158040,16066,2320,19926,2006.86,0.11
ART_158,Foundation,Cyberpunk,Hybrid,103220,80040,39442,10260,4644.66,0.38
ART_159,SuperRare,Surreal,Individual,448911,67454,7404,4328,4279.09,0.13
ART_160,Instagram,Minimalist,Hybrid,417312,80669,44537,12937,45.14,0.33
ART_161,Opensea,Cyberpunk,Hybrid,302746,75934,41304,9371,2838.97,0.23
ART_162,Instagram,Surreal,Hybrid,288995,97218,40318,10803,1113.95,0.63
ART_163,SuperRare,Pixel Art,Hybrid,427004,25390,17418,1584,3634.79,0.46
ART_164,Instagram,Minimalist,AI Model,397789,18619,46140,11768,2980.43,0.61
ART_165,Opensea,Cyberpunk,Hybrid,266900,54959,34529,13673,253.67,0.22
ART_166,Opensea,Pixel Art,Individual,207866,85044,42360,18737,2642.03,0.54
ART_167,SuperRare,Cyberpunk,AI Model,149812,12566,43408,15880,434.64,0.96
ART_168,Opensea,Pixel Art,Individual,5138,70668,27646,13411,51.56,0.42
ART_169,DeviantArt,Futuristic,Individual,437644,89696,5259,18827,2104.04,0.31
ART_170,DeviantArt,Futuristic,Hybrid,359743,78379,6358,13223,244.32,0.78
ART_171,Foundation,Futuristic,AI Model,11028,29917,32137,18440,1028.55,0.55
ART_172,Foundation,Futuristic,AI Model,9958,2121,10467,16145,4290.56,0.6
ART_173,DeviantArt,Abstract,AI Model,93990,67143,3730,4765,4970.26,0.61
ART_174,Opensea,Pixel Art,AI Model,229708,959,39485,4179,4877.67,0.12
ART_175,DeviantArt,Cyberpunk,Individual,447496,33946,31428,17058,1212.66,0.68
ART_176,SuperRare,Abstract,Individual,325087,65124,38036,18148,4220.43,0.34
ART_177,SuperRare,Cyberpunk,Individual,460858,82247,43012,11900,2870.77,0.25
ART_178,SuperRare,Futuristic,Individual,294587,16815,2025,18372,4701.58,0.63
ART_179,DeviantArt,Futuristic,AI Model,38171,15837,42741,17076,2280.21,0.28
ART_180,DeviantArt,Cyberpunk,Individual,449173,94174,36689,14868,406.1,0.92
ART_181,Foundation,Futuristic,Individual,436997,8582,14565,19812,4116.6,1.0
ART_182,SuperRare,Cyberpunk,Individual,181464,70708,14945,13403,1264.59,0.65
ART_183,SuperRare,Pixel Art,Individual,187058,47585,25238,5093,3759.99,0.52
ART_184,Opensea,Cyberpunk,Individual,227169,23991,1093,17,2511.01,0.25
ART_185,Opensea,Abstract,Individual,411164,84553,49854,8797,4948.61,0.58
ART_186,Opensea,Pixel Art,Hybrid,106630,45193,43433,18829,992.31,0.4
ART_187,DeviantArt,Pixel Art,Individual,66593,85384,9935,2979,1883.26,0.82
ART_188,Foundation,Abstract,Hybrid,206317,70151,38069,14990,2643.18,0.93
ART_189,SuperRare,Minimalist,Hybrid,460827,61056,48569,13744,2518.57,0.94
ART_190,Foundation,Surreal,Individual,309282,92106,8999,8721,2682.05,0.12
ART_191,Opensea,Portrait,Hybrid,50222,42329,16837,784,4197.92,0.62
ART_192,SuperRare,Abstract,AI Model,482442,17892,19070,1692,3723.31,0.75
ART_193,Foundation,Futuristic,Hybrid,50590,61533,48439,5158,458.35,0.84
ART_194,Foundation,Surreal,Individual,328103,86522,40847,8350,2564.54,0.69
ART_195,Foundation,Cyberpunk,Hybrid,40569,39689,31730,2724,3923.74,0.24
ART_196,DeviantArt,Futuristic,Individual,176015,30694,37059,2806,3660.77,0.26
ART_197,DeviantArt,Pixel Art,Individual,109702,43985,1303,11170,2129.92,0.83
ART_198,Instagram,Cyberpunk,Individual,269190,453,26441,4498,752.08,0.19
ART_199,Opensea,Surreal,AI Model,466991,23901,14881,8680,641.92,0.44
ART_200,Opensea,Cyberpunk,Individual,273212,86581,45301,13948,2497.25,0.99
ART_201,Instagram,Minimalist,AI Model,10601,4293,27325,3251,4809.01,0.99
ART_202,Foundation,Surreal,AI Model,425745,87034,17940,19234,3804.64,0.95
ART_203,Instagram,Portrait,AI Model,439537,64655,416,3834,31.47,0.39
ART_204,Opensea,Futuristic,AI Model,74378,42948,15823,858,97.17,0.5
ART_205,Foundation,Minimalist,Hybrid,266183,82639,34470,4857,3112.69,0.98
ART_206,Opensea,Cyberpunk,Hybrid,222687,79880,14240,5785,3841.85,0.35
ART_207,DeviantArt,Portrait,AI Model,87051,74395,25379,10035,1295.73,0.27
ART_208,DeviantArt,Futuristic,Hybrid,464870,1663,29993,7604,4182.94,0.14
ART_209,DeviantArt,Futuristic,Individual,407200,9382,16947,17698,4386.16,0.77
ART_210,SuperRare,Cyberpunk,Hybrid,265145,95791,49366,2936,2278.32,0.1
ART_211,Opensea,Futuristic,AI Model,368503,81153,29038,11810,1649.01,0.54
ART_212,Foundation,Surreal,AI Model,407296,7321,43033,1918,1220.6,0.23
ART_213,Instagram,Futuristic,Individual,226965,19393,9649,3423,3393.94,0.41
ART_214,Instagram,Surreal,Hybrid,271806,25991,36526,6158,4978.41,0.18
ART_215,SuperRare,Cyberpunk,Hybrid,444118,37004,20013,12688,2484.68,0.4
ART_216,SuperRare,Pixel Art,Hybrid,215053,22126,29879,18811,915.29,0.13
ART_217,Instagram,Cyberpunk,Individual,16254,27118,24900,13488,87.97,0.9
ART_218,Foundation,Minimalist,AI Model,161155,21240,41185,50,3103.2,0.29
ART_219,Foundation,Portrait,Hybrid,448220,95702,5083,5018,4828.18,0.18
ART_220,Opensea,Minimalist,Hybrid,137323,42209,33272,14337,1809.75,0.78
ART_221,Foundation,Futuristic,AI Model,412444,25032,19284,12607,337.54,0.33
ART_222,Opensea,Minimalist,Individual,422720,73846,7521,10023,4129.14,0.18
ART_223,Instagram,Portrait,Individual,347050,67805,7257,15945,2971.89,0.63
ART_224,DeviantArt,Pixel Art,Individual,153074,63341,19865,10114,3423.86,0.37
ART_225,Foundation,Minimalist,AI Model,394315,36673,19236,1582,1788.62,0.76
ART_226,Foundation,Portrait,AI Model,367315,1780,29819,5366,486.7,0.38
ART_227,DeviantArt,Abstract,Individual,413353,5297,12277,6451,579.2,0.51
ART_228,SuperRare,Portrait,Hybrid,225061,28470,21684,2735,3748.65,0.97
ART_229,Foundation,Surreal,Hybrid,207716,15777,14893,971,2804.05,0.62
ART_230,Opensea,Cyberpunk,Individual,148192,47185,46823,19671,2710.84,0.68
ART_231,Foundation,Pixel Art,Hybrid,490387,82840,45917,15910,4650.35,0.27
ART_232,Instagram,Surreal,AI Model,55810,47936,43201,17541,2291.79,0.72
ART_233,DeviantArt,Portrait,AI Model,324972,78047,40774,18570,4849.8,0.2
ART_234,DeviantArt,Pixel Art,Individual,146069,17238,42642,12201,4552.18,0.47
ART_235,DeviantArt,Pixel Art,Hybrid,490660,57107,17997,8467,4537.25,0.13
ART_236,Instagram,Cyberpunk,Hybrid,342324,86960,10053,11674,2584.88,0.78
ART_237,DeviantArt,Futuristic,Hybrid,314139,89332,28041,4172,2472.27,0.15
ART_238,Opensea,Surreal,Individual,24990,81770,21758,16360,4498.79,0.21
ART_239,Opensea,Minimalist,Individual,432750,36439,30142,17647,2375.26,0.71
ART_240,Foundation,Abstract,Hybrid,457173,38990,3417,9553,3283.75,0.66
ART_241,Instagram,Futuristic,Individual,116435,92249,949,15437,2588.11,0.47
ART_242,SuperRare,Portrait,Hybrid,357627,43766,6711,1579,2099.47,0.92
ART_243,Opensea,Surreal,Hybrid,497019,81589,11200,19061,696.54,0.51
ART_244,SuperRare,Cyberpunk,AI Model,402309,22656,18478,2221,379.98,0.46
ART_245,DeviantArt,Futuristic,Hybrid,310321,1241,27506,9723,1899.55,0.41
ART_246,SuperRare,Surreal,AI Model,348016,27770,9133,19799,1440.83,0.21
ART_247,SuperRare,Portrait,AI Model,388999,76396,25042,4049,4595.38,0.35
ART_248,SuperRare,Minimalist,Hybrid,454692,43276,40940,10613,3687.79,0.51
ART_249,Opensea,Pixel Art,Hybrid,32436,30820,9729,9029,3769.52,0.1
ART_250,Instagram,Cyberpunk,Hybrid,366133,20765,2164,17501,3282.68,0.67
ART_251,DeviantArt,Abstract,AI Model,56547,51681,32917,13098,4997.05,0.13
ART_252,SuperRare,Cyberpunk,Individual,443696,26466,24770,6783,511.61,0.82
ART_253,DeviantArt,Surreal,Individual,398297,26312,32101,11650,1615.81,0.66
ART_254,DeviantArt,Portrait,Hybrid,182447,97819,38999,6846,2928.23,0.71
ART_255,Opensea,Portrait,Individual,299736,30491,5303,1996,767.48,0.39
ART_256,DeviantArt,Minimalist,Hybrid,172168,73580,9957,15578,1848.28,0.9
ART_257,DeviantArt,Minimalist,AI Model,64079,45589,29862,963,2774.66,0.7
ART_258,SuperRare,Futuristic,AI Model,389288,99288,27767,19267,4924.49,0.13
ART_259,Opensea,Pixel Art,Individual,127817,47035,48900,3998,3697.46,0.79
ART_260,Foundation,Pixel Art,Individual,70067,26155,10805,680,174.49,0.42
ART_261,SuperRare,Cyberpunk,Hybrid,65440,30067,28974,8567,1579.75,0.75
ART_262,Foundation,Abstract,AI Model,435963,39276,20039,3402,4390.32,0.63
ART_263,Instagram,Portrait,AI Model,297042,46999,34016,3392,2866.82,0.91
ART_264,SuperRare,Surreal,Individual,102242,33449,32693,919,309.87,0.39
ART_265,SuperRare,Pixel Art,AI Model,53057,96538,6236,7522,1208.75,0.82
ART_266,DeviantArt,Portrait,AI Model,232190,63361,25746,6774,413.15,0.95
ART_267,Opensea,Minimalist,Hybrid,170946,16395,29541,15604,2410.95,0.16
ART_268,Opensea,Minimalist,Hybrid,377053,36404,34150,16145,3490.88,0.87
ART_269,DeviantArt,Minimalist,AI Model,249133,480,222,14922,2682.08,0.23
ART_270,SuperRare,Portrait,Individual,15413,83661,27895,510,2319.59,0.7
ART_271,SuperRare,Surreal,Hybrid,30522,31788,32310,11853,4885.98,0.44
ART_272,SuperRare,Minimalist,AI Model,252032,25964,20677,3398,303.42,0.31
ART_273,Foundation,Cyberpunk,Individual,217530,30183,14249,10665,3176.87,0.49
ART_274,Foundation,Pixel Art,Hybrid,285484,94527,33710,7847,2087.45,0.5
ART_275,SuperRare,Surreal,Hybrid,215473,83203,17442,4490,2878.91,0.86
ART_276,Instagram,Cyberpunk,AI Model,58531,32414,26138,8940,605.6,0.24
ART_277,SuperRare,Abstract,Individual,216063,66527,47287,13385,4607.86,0.32
ART_278,Foundation,Abstract,AI Model,180514,6765,14096,8682,4042.72,0.96
ART_279,SuperRare,Minimalist,Hybrid,224925,22780,23333,16138,107.74,0.74
ART_280,Opensea,Surreal,Individual,19242,37463,3444,12499,1872.72,0.18
ART_281,SuperRare,Surreal,AI Model,204257,85222,45250,16911,1488.67,0.56
ART_282,SuperRare,Abstract,Hybrid,52014,65083,44971,10510,2182.73,0.12
ART_283,Opensea,Surreal,Individual,71882,50661,12229,15838,3149.19,0.33
ART_284,DeviantArt,Surreal,Hybrid,212378,60153,30688,7475,4532.42,0.83
ART_285,Foundation,Surreal,AI Model,485957,8027,44037,10231,202.16,0.18
ART_286,Instagram,Pixel Art,Individual,389340,19085,11091,2695,1652.15,0.55
ART_287,DeviantArt,Surreal,AI Model,156452,7038,24286,8808,4416.28,0.19
ART_288,SuperRare,Portrait,Individual,213714,57487,12505,937,4844.77,0.53
ART_289,DeviantArt,Cyberpunk,Individual,472719,69349,19897,19122,102.33,0.51
ART_290,SuperRare,Minimalist,AI Model,39729,77858,4831,13945,2578.54,0.39
ART_291,Instagram,Futuristic,AI Model,12987,23542,35807,15839,2419.02,0.7
ART_292,Foundation,Surreal,Hybrid,128230,49606,24561,3439,1239.41,0.29
ART_293,DeviantArt,Pixel Art,AI Model,188973,59464,17955,5712,2058.15,0.39
ART_294,DeviantArt,Futuristic,Individual,271144,47337,21008,12358,2506.92,0.69
ART_295,Instagram,Cyberpunk,AI Model,150518,54107,38242,696,4589.25,0.13
ART_296,SuperRare,Pixel Art,Individual,3731,35430,43734,8594,3115.4,0.56
ART_297,Foundation,Surreal,AI Model,174992,47684,11751,8599,427.7,0.62
ART_298,DeviantArt,Abstract,Hybrid,357947,21452,23471,17783,1454.02,0.55
ART_299,Foundation,Minimalist,Hybrid,474540,98987,40976,18327,2467.36,0.29
ART_300,DeviantArt,Surreal,Individual,472605,42377,38145,7557,1443.33,0.99
ART_301,SuperRare,Surreal,Individual,463460,34441,33720,7823,2824.6,0.75
ART_302,Instagram,Pixel Art,AI Model,86081,90553,8525,3538,1247.96,0.98
ART_303,Foundation,Portrait,AI Model,30223,35915,41359,8017,2149.64,0.87
ART_304,SuperRare,Abstract,Hybrid,144993,74103,46877,7699,4733.8,0.44
ART_305,Instagram,Minimalist,AI Model,179459,35766,39452,18971,815.01,0.72
ART_306,DeviantArt,Portrait,AI Model,356952,17166,49804,2797,92.51,0.81
ART_307,Foundation,Portrait,Hybrid,281036,78460,22806,13766,2589.57,0.23
ART_308,SuperRare,Portrait,Individual,127938,25343,18976,10711,26.63,0.94
ART_309,Opensea,Portrait,Hybrid,83934,98412,25035,6996,1061.24,0.44
ART_310,SuperRare,Surreal,Hybrid,384726,49601,9225,3316,1641.75,0.38
ART_311,Foundation,Cyberpunk,AI Model,22256,45651,31905,9647,3206.51,0.67
ART_312,SuperRare,Portrait,Individual,494051,75812,17394,18050,2479.94,0.33
ART_313,Opensea,Minimalist,Hybrid,373474,89236,17000,8375,3007.46,0.22
ART_314,Instagram,Pixel Art,Individual,215689,219,964,15541,379.74,0.73
ART_315,Instagram,Pixel Art,Hybrid,335516,2931,15712,19358,4833.49,0.9
ART_316,DeviantArt,Abstract,Individual,205188,46351,47166,1524,3565.89,0.94
ART_317,Instagram,Portrait,Hybrid,31991,58320,28115,16239,2126.97,0.57
ART_318,SuperRare,Pixel Art,AI Model,444885,97272,48101,12494,2226.22,0.79
ART_319,SuperRare,Portrait,Individual,175122,69141,12522,10426,3094.99,0.17
ART_320,SuperRare,Portrait,Individual,253635,29769,24284,13570,4455.63,0.94
ART_321,SuperRare,Pixel Art,Hybrid,66570,41037,32888,3163,4750.2,0.46
ART_322,Opensea,Minimalist,Individual,213156,27838,16534,10805,4726.24,0.46
ART_323,DeviantArt,Futuristic,Hybrid,265637,88195,33211,18922,4249.18,0.34
ART_324,Instagram,Minimalist,Individual,343840,58837,4843,12590,2138.24,0.71
ART_325,SuperRare,Abstract,Individual,467457,32406,34167,825,1012.23,0.35
ART_326,DeviantArt,Minimalist,Hybrid,269149,48198,2337,8212,538.37,0.61
ART_327,Instagram,Minimalist,Hybrid,279353,6355,15329,3796,1612.82,0.43
